zip,income,year
60543,41198.0,2018
60544,36501.0,2018
60545,31462.0,2018
60546,39892.0,2018
60548,28967.0,2018
60549,45577.0,2018
60550,31338.0,2018
60551,23191.0,2018
60552,38816.0,2018
60553,30714.0,2018
60554,46534.0,2018
60555,39686.0,2018
60556,37000.0,2018
60557,35120.0,2018
60558,62766.0,2018
60559,37012.0,2018
60560,40466.0,2018
60561,44185.0,2018
60563,46174.0,2018
60564,60840.0,2018
60565,53122.0,2018
60585,52666.0,2018
60586,40370.0,2018
60601,69769.0,2018
60602,65167.0,2018
60603,60833.0,2018
60604,86250.0,2018
60605,64506.0,2018
60606,96226.0,2018
60607,56126.0,2018
60608,24325.0,2018
60609,20840.0,2018
60610,63498.0,2018
60611,75026.0,2018
60612,24183.0,2018
60613,54111.0,2018
60614,63997.0,2018
60615,30850.0,2018
60616,26283.0,2018
60617,23162.0,2018
60618,35993.0,2018
60619,22693.0,2018
60620,21467.0,2018
60621,14881.0,2018
60622,52998.0,2018
60623,19820.0,2018
60624,16594.0,2018
60625,31771.0,2018
60626,26090.0,2018
60628,20913.0,2018
60629,22327.0,2018
60630,35441.0,2018
60631,47582.0,2018
60632,22844.0,2018
60633,26193.0,2018
60634,31502.0,2018
60636,18322.0,2018
60637,20154.0,2018
60638,33793.0,2018
60639,22208.0,2018
60640,34347.0,2018
60641,30775.0,2018
60642,57243.0,2018
60643,31884.0,2018
60644,17341.0,2018
60645,27787.0,2018
60646,46241.0,2018
60647,37456.0,2018
60649,21615.0,2018
60651,20888.0,2018
60652,30249.0,2018
60653,21760.0,2018
60654,82351.0,2018
60655,51212.0,2018
60656,36021.0,2018
60657,58790.0,2018
60659,25179.0,2018
60660,29672.0,2018
60661,83539.0,2018
60706,31844.0,2018
60707,28267.0,2018
60712,39940.0,2018
60714,29676.0,2018
60803,32885.0,2018
60804,24563.0,2018
60805,36026.0,2018
60827,22699.0,2018
60901,23471.0,2018
60910,19408.0,2018
60911,32173.0,2018
60912,25851.0,2018
60913,33276.0,2018
60914,30005.0,2018
60915,29695.0,2018
60917,27083.0,2018
60918,26513.0,2018
60919,32454.0,2018
60920,21607.0,2018
60921,23250.0,2018
60922,36149.0,2018
60924,30746.0,2018
60926,32083.0,2018
60927,30258.0,2018
60928,30455.0,2018
60929,28043.0,2018
60930,27107.0,2018
60931,24643.0,2018
60932,,2018
60933,28839.0,2018
60934,30744.0,2018
60935,31917.0,2018
60936,28526.0,2018
60938,26990.0,2018
60940,31870.0,2018
60941,40450.0,2018
60942,26084.0,2018
60945,34286.0,2018
60946,33603.0,2018
60948,32833.0,2018
60949,33681.0,2018
60950,26684.0,2018
60951,33393.0,2018
60952,29306.0,2018
60953,25545.0,2018
60954,25304.0,2018
60955,25579.0,2018
60957,28722.0,2018
60958,18750.0,2018
60959,29306.0,2018
